date,open,high,low,close,volume
2023-01-02,150.6,151.72,147.48,150.73,44921220.0
2023-01-03,148.65,150.14,147.52,148.44,57433108.0
2023-01-04,150.03,151.04,149.06,150.17,7876042.0
2023-01-05,152.78,154.25,150.27,152.35,40602974.0
2023-01-06,147.19,149.03,146.34,148.0,48932119.0
2023-01-09,145.03,146.58,143.79,145.18,29271963.0
2023-01-10,144.64,146.06,143.86,145.5,36554562.0
2023-01-11,144.21,145.86,143.22,144.86,25468866.0
2023-01-12,145.46,145.94,144.4,144.86,24809907.0
2023-01-13,143.45,144.08,142.41,143.07,30520824.0
2023-01-16,144.7,146.23,144.03,145.01,52101126.0
2023-01-17,146.09,147.25,145.57,146.75,41507539.0
2023-01-18,145.64,149.09,144.14,146.94,22626391.0
2023-01-19,149.25,150.95,148.17,149.49,62779062.0
2023-01-20,151.69,153.35,149.89,150.59,47102564.0
2023-01-23,148.9,150.12,147.41,148.71,58802832.0
2023-01-24,149.33,150.6,147.61,149.58,42289434.0
2023-01-25,147.69,149.65,144.95,147.49,28987590.0
2023-01-26,148.79,151.21,147.75,149.49,50505122.0
2023-01-27,149.29,149.73,148.82,149.42,19994721.0
2023-01-30,149.09,149.51,148.49,149.05,18042078.0
2023-01-31,147.54,148.36,146.33,147.58,30312971.0
2023-02-01,150.71,151.18,149.0,150.36,66741882.0
2023-02-02,150.21,151.23,148.89,150.05,31790287.0
2023-02-03,149.44,151.04,147.61,149.14,24993758.0
2023-02-06,148.09,149.1,147.74,148.4,28350707.0
2023-02-07,150.03,151.56,148.71,149.63,21104555.0
2023-02-08,151.24,152.45,149.57,150.5,38649889.0
2023-02-09,151.04,152.46,150.51,151.48,23465355.0
2023-02-10,152.1,154.87,149.55,152.51,33998306.0
2023-02-13,158.16,158.53,156.64,157.53,35676412.0
2023-02-14,156.53,158.1,154.91,156.62,21684867.0
2023-02-15,156.13,156.98,154.73,155.47,55846456.0
2023-02-16,153.43,155.04,150.77,153.63,25453373.0
2023-02-17,155.78,158.12,151.64,155.1,9732853.0
2023-02-20,157.86,161.72,154.98,157.8,29632534.0
2023-02-21,157.7,158.7,155.99,157.58,29762314.0
2023-02-22,156.38,157.38,153.28,155.65,11536886.0
2023-02-23,153.62,156.51,152.18,153.78,23282404.0
2023-02-24,154.9,157.6,151.76,155.34,14982073.0
2023-02-27,156.91,157.6,156.21,157.13,33832699.0
2023-02-28,158.67,160.99,156.52,158.46,43882385.0
2023-03-01,156.2,159.13,155.44,156.93,57989580.0
2023-03-02,157.83,160.18,155.5,157.53,24212148.0
2023-03-03,157.59,159.5,155.54,157.85,45644601.0
2023-03-06,158.96,159.95,156.95,158.42,15703594.0
2023-03-07,159.4,161.51,157.65,160.55,50852236.0
2023-03-08,160.76,162.33,159.17,161.14,32536022.0
2023-03-09,162.01,163.48,160.87,162.83,47319786.0
2023-03-10,162.64,164.86,161.4,163.05,40023935.0
2023-03-13,163.93,165.86,162.32,163.81,31645032.0
2023-03-14,165.32,165.91,164.3,165.41,19824296.0
2023-03-15,161.76,163.32,160.28,161.89,41042837.0
2023-03-16,161.08,162.08,160.02,161.16,45999880.0
2023-03-17,160.17,161.86,159.2,160.07,55256853.0
2023-03-20,158.12,159.55,156.24,158.6,55415200.0
2023-03-21,158.33,160.48,155.19,157.99,14173779.0
2023-03-22,161.94,163.16,160.05,161.62,46372903.0
2023-03-23,159.77,161.98,155.82,159.58,12169861.0
2023-03-24,162.24,165.16,158.86,161.97,45509999.0
2023-03-27,158.12,159.98,156.05,157.98,74426101.0
2023-03-28,158.2,159.46,155.72,157.23,8061744.0
2023-03-29,157.62,159.72,156.05,157.66,36439771.0
2023-03-30,158.96,162.56,156.79,159.1,56195865.0
2023-03-31,160.5,162.58,159.14,160.86,52583169.0
2023-04-03,162.33,165.1,159.75,162.83,28191390.0
2023-04-04,161.43,162.82,160.15,162.03,10630756.0
2023-04-05,160.53,163.4,159.17,160.96,52756347.0
2023-04-06,163.06,164.26,161.81,163.09,58696614.0
2023-04-07,162.84,164.72,160.8,162.68,32649893.0
2023-04-10,159.67,160.19,158.99,159.64,67527785.0
2023-04-11,156.64,159.73,154.05,157.0,6947193.0
2023-04-12,155.31,157.3,151.79,154.89,41583916.0
2023-04-13,156.45,157.37,155.6,156.1,7779217.0
2023-04-14,156.41,157.57,155.58,156.48,49401622.0
2023-04-17,157.85,159.22,157.26,158.16,43210847.0
2023-04-18,157.45,158.76,154.56,157.19,51737118.0
2023-04-19,157.7,158.17,156.68,157.62,31944060.0
2023-04-20,158.46,162.55,156.96,159.15,10440903.0
2023-04-21,158.43,159.61,157.39,158.46,6731619.0
2023-04-24,159.72,161.45,158.13,159.6,22975875.0
2023-04-25,157.64,160.16,155.74,158.07,45861411.0
2023-04-26,157.35,159.5,154.61,157.26,13010500.0
2023-04-27,155.72,159.36,154.32,156.41,48050566.0
2023-04-28,154.29,156.1,152.36,153.67,21342035.0
2023-05-01,155.42,157.88,152.64,154.84,31496790.0
2023-05-02,153.69,155.07,152.55,153.8,16044828.0
2023-05-03,154.05,156.15,151.41,153.88,26212139.0
2023-05-04,153.92,155.95,152.87,155.04,29155687.0
2023-05-05,155.59,158.02,154.64,156.13,5980556.0
2023-05-08,157.6,158.24,157.07,157.74,36833383.0
2023-05-09,157.05,159.95,154.86,157.56,41350463.0
2023-05-10,156.94,159.27,155.34,156.61,52834950.0
2023-05-11,157.41,159.33,154.41,156.47,20238421.0
2023-05-12,152.06,153.47,150.26,152.6,66948509.0
2023-05-15,148.99,150.71,147.85,149.37,63615306.0
2023-05-16,146.58,149.1,143.76,146.48,68813411.0
2023-05-17,145.05,145.72,143.44,144.35,28175322.0
2023-05-18,144.73,147.69,143.25,145.26,48741740.0
2023-05-19,143.45,145.36,141.02,143.34,38511646.0
2023-05-22,143.35,144.2,141.89,142.57,8441175.0
2023-05-23,144.7,146.41,143.87,145.42,23958897.0
2023-05-24,144.14,145.25,143.4,144.69,38797529.0
2023-05-25,146.16,147.74,143.52,146.34,15004997.0
2023-05-26,144.13,145.75,142.2,144.35,31295277.0
2023-05-29,144.3,146.39,142.0,143.95,42088921.0
2023-05-30,142.06,143.59,141.0,141.96,15014486.0
2023-05-31,140.53,142.47,139.19,141.28,29963909.0
2023-06-01,143.34,146.47,139.88,143.12,18454504.0
2023-06-02,139.25,141.27,137.78,139.5,44068353.0
2023-06-05,140.99,141.63,139.54,140.45,17990349.0
2023-06-06,140.73,141.97,139.69,140.99,52189418.0
2023-06-07,139.52,140.69,138.99,139.79,9907288.0
2023-06-08,137.05,137.49,135.97,136.83,69050812.0
2023-06-09,137.33,137.78,136.42,137.02,41757459.0
2023-06-12,136.16,138.67,133.23,135.97,50153370.0
2023-06-13,135.8,137.5,134.14,136.49,46601529.0
2023-06-14,136.8,138.47,135.06,136.58,13611196.0
2023-06-15,139.5,141.23,137.88,139.94,69717133.0
2023-06-16,139.58,140.4,138.3,139.48,33831125.0
2023-06-19,136.81,140.09,134.12,137.39,62836877.0
2023-06-20,137.99,140.59,135.36,137.81,47177958.0
2023-06-21,137.97,139.3,136.67,138.3,33320360.0
2023-06-22,140.65,141.98,139.02,141.19,30891814.0
2023-06-23,143.32,144.84,141.6,143.02,12914552.0
2023-06-26,143.93,145.78,141.28,143.83,10629487.0
2023-06-27,146.79,149.28,145.5,147.06,32565661.0
2023-06-28,145.14,145.65,144.07,144.51,56042091.0
2023-06-29,142.98,144.22,140.86,143.17,32898131.0
2023-06-30,141.25,142.85,140.37,141.24,33935419.0
2023-07-03,140.57,141.58,140.1,140.46,17775550.0
2023-07-04,137.37,139.37,136.68,137.63,42769699.0
2023-07-05,139.18,140.87,137.41,138.99,40339598.0
2023-07-06,138.34,138.84,137.73,138.56,52181087.0
2023-07-07,135.41,136.49,134.79,135.58,54286246.0
2023-07-10,134.12,135.57,131.4,133.57,41978997.0
2023-07-11,133.82,135.46,132.54,134.24,50551289.0
2023-07-12,135.0,137.74,134.2,135.98,30334524.0
2023-07-13,140.84,142.64,139.38,140.16,75552592.0
2023-07-14,147.59,149.19,145.0,146.46,40704113.0
2023-07-17,147.24,150.82,144.22,147.42,12151042.0
2023-07-18,144.45,148.19,142.42,145.29,30713296.0
2023-07-19,140.63,141.12,139.74,140.76,17634022.0
2023-07-20,141.25,142.77,139.96,141.37,11219400.0
2023-07-21,139.62,141.32,137.8,139.7,55276875.0
2023-07-24,138.41,139.89,137.2,138.87,45598651.0
2023-07-25,137.88,138.98,136.21,137.64,17610886.0
2023-07-26,137.61,138.49,136.59,137.4,44244490.0
2023-07-27,139.03,142.2,136.75,139.65,10739723.0
2023-07-28,140.32,142.06,137.91,140.02,18743197.0
2023-07-31,140.6,141.64,138.16,139.73,38304051.0
2023-08-01,137.69,138.14,137.1,137.62,24359782.0
2023-08-02,134.11,135.52,132.71,134.25,56672835.0
2023-08-03,133.25,133.98,132.92,133.31,50548574.0
2023-08-04,133.49,134.42,132.16,133.24,8053578.0
2023-08-07,136.16,137.74,135.74,136.86,9339133.0
2023-08-08,137.24,138.67,136.16,137.17,49432490.0
2023-08-09,139.09,139.95,138.56,139.25,36970117.0
2023-08-10,139.02,140.9,136.9,138.25,31787427.0
2023-08-11,135.79,137.91,133.63,135.86,34904930.0
2023-08-14,134.62,135.26,133.5,133.95,31462740.0
2023-08-15,132.1,132.84,131.43,132.54,43683931.0
2023-08-16,137.12,137.91,136.55,136.88,51126389.0
2023-08-17,135.37,136.26,133.49,135.24,15322395.0
2023-08-18,136.64,139.67,134.87,137.0,41748965.0
